district,year,month,respiratory_cases,deaths
Ampara,2014,1,185,1
Ampara,2014,2,175,1
Ampara,2014,3,185,1
Ampara,2014,4,164,1
Ampara,2014,5,154,1
Ampara,2014,6,175,1
Ampara,2014,7,195,1
Ampara,2014,8,216,2
Ampara,2014,9,246,2
Ampara,2014,10,267,2
Ampara,2014,11,287,2
Ampara,2014,12,277,2
Anuradhapura,2014,1,789,7
Anuradhapura,2014,2,745,6
Anuradhapura,2014,3,789,6
Anuradhapura,2014,4,701,6
Anuradhapura,2014,5,657,5
Anuradhapura,2014,6,745,6
Anuradhapura,2014,7,832,7
Anuradhapura,2014,8,920,8
Anuradhapura,2014,9,1052,9
Anuradhapura,2014,10,1139,9
Anuradhapura,2014,11,1227,10
Anuradhapura,2014,12,1183,10
Badulla,2014,1,792,8
Badulla,2014,2,748,8
Badulla,2014,3,792,8
Badulla,2014,4,704,7
Badulla,2014,5,660,7
Badulla,2014,6,748,8
Badulla,2014,7,836,8
Badulla,2014,8,925,9
Badulla,2014,9,1057,11
Badulla,2014,10,1145,11
Badulla,2014,11,1233,12
Badulla,2014,12,1189,12
Batticaloa,2014,1,480,0
Batticaloa,2014,2,453,0
Batticaloa,2014,3,480,0
Batticaloa,2014,4,427,0
Batticaloa,2014,5,400,0
Batticaloa,2014,6,453,0
Batticaloa,2014,7,507,1
Batticaloa,2014,8,560,1
Batticaloa,2014,9,640,1
Batticaloa,2014,10,694,1
Batticaloa,2014,11,747,1
Batticaloa,2014,12,720,1
Colombo,2014,1,1147,18
Colombo,2014,2,1083,17
Colombo,2014,3,1147,18
Colombo,2014,4,1020,16
Colombo,2014,5,956,15
Colombo,2014,6,1083,17
Colombo,2014,7,1211,19
Colombo,2014,8,1338,21
Colombo,2014,9,1529,24
Colombo,2014,10,1657,26
Colombo,2014,11,1784,28
Colombo,2014,12,1721,27
Galle,2014,1,952,8
Galle,2014,2,899,7
Galle,2014,3,951,7
Galle,2014,4,846,7
Galle,2014,5,793,6
Galle,2014,6,899,7
Galle,2014,7,1004,8
Galle,2014,8,1110,9
Galle,2014,9,1269,10
Galle,2014,10,1374,11
Galle,2014,11,1480,12
Galle,2014,12,1427,11
Gampaha,2014,1,1675,9
Gampaha,2014,2,1582,9
Gampaha,2014,3,1675,9
Gampaha,2014,4,1489,8
Gampaha,2014,5,1396,8
Gampaha,2014,6,1582,9
Gampaha,2014,7,1768,10
Gampaha,2014,8,1955,11
Gampaha,2014,9,2234,13
Gampaha,2014,10,2420,14
Gampaha,2014,11,2606,15
Gampaha,2014,12,2513,14
Hambantota,2014,1,893,3
Hambantota,2014,2,843,3
Hambantota,2014,3,893,3
Hambantota,2014,4,794,2
Hambantota,2014,5,744,2
Hambantota,2014,6,843,2
Hambantota,2014,7,942,3
Hambantota,2014,8,1041,3
Hambantota,2014,9,1190,4
Hambantota,2014,10,1289,4
Hambantota,2014,11,1389,4
Hambantota,2014,12,1339,4
Jaffna,2014,1,713,4
Jaffna,2014,2,674,4
Jaffna,2014,3,713,4
Jaffna,2014,4,634,4
Jaffna,2014,5,594,3
Jaffna,2014,6,673,4
Jaffna,2014,7,753,4
Jaffna,2014,8,832,5
Jaffna,2014,9,951,6
Jaffna,2014,10,1030,6
Jaffna,2014,11,1109,6
Jaffna,2014,12,1070,6
Kalmunai,2014,1,612,2
Kalmunai,2014,2,578,2
Kalmunai,2014,3,612,2
Kalmunai,2014,4,544,1
Kalmunai,2014,5,510,1
Kalmunai,2014,6,578,1
Kalmunai,2014,7,646,2
Kalmunai,2014,8,714,2
Kalmunai,2014,9,816,2
Kalmunai,2014,10,884,2
Kalmunai,2014,11,951,2
Kalmunai,2014,12,917,2
Kalutara,2014,1,843,4
Kalutara,2014,2,796,4
Kalutara,2014,3,843,4
Kalutara,2014,4,749,3
Kalutara,2014,5,702,3
Kalutara,2014,6,796,4
Kalutara,2014,7,890,4
Kalutara,2014,8,983,4
Kalutara,2014,9,1124,5
Kalutara,2014,10,1218,5
Kalutara,2014,11,1311,6
Kalutara,2014,12,1264,6
Kandy,2014,1,1275,17
Kandy,2014,2,1205,16
Kandy,2014,3,1275,17
Kandy,2014,4,1134,15
Kandy,2014,5,1063,14
Kandy,2014,6,1205,16
Kandy,2014,7,1346,18
Kandy,2014,8,1488,19
Kandy,2014,9,1701,22
Kandy,2014,10,1842,24
Kandy,2014,11,1984,26
Kandy,2014,12,1913,25
Kegalle,2014,1,583,5
Kegalle,2014,2,550,5
Kegalle,2014,3,583,5
Kegalle,2014,4,518,4
Kegalle,2014,5,486,4
Kegalle,2014,6,550,4
Kegalle,2014,7,615,5
Kegalle,2014,8,680,6
Kegalle,2014,9,777,6
Kegalle,2014,10,842,7
Kegalle,2014,11,907,7
Kegalle,2014,12,874,7
Kilinochchi,2014,1,67,0
Kilinochchi,2014,2,64,0
Kilinochchi,2014,3,67,0
Kilinochchi,2014,4,60,0
Kilinochchi,2014,5,56,0
Kilinochchi,2014,6,64,0
Kilinochchi,2014,7,71,0
Kilinochchi,2014,8,78,1
Kilinochchi,2014,9,90,1
Kilinochchi,2014,10,97,1
Kilinochchi,2014,11,105,1
Kilinochchi,2014,12,101,1
Kurunegala,2014,1,1396,10
Kurunegala,2014,2,1318,9
Kurunegala,2014,3,1396,9
Kurunegala,2014,4,1241,8
Kurunegala,2014,5,1163,8
Kurunegala,2014,6,1318,9
Kurunegala,2014,7,1474,10
Kurunegala,2014,8,1629,11
Kurunegala,2014,9,1861,13
Kurunegala,2014,10,2016,14
Kurunegala,2014,11,2172,15
Kurunegala,2014,12,2094,14
Mannar,2014,1,63,0
Mannar,2014,2,60,0
Mannar,2014,3,63,0
Mannar,2014,4,56,0
Mannar,2014,5,53,0
Mannar,2014,6,59,0
Mannar,2014,7,66,1
Mannar,2014,8,73,1
Mannar,2014,9,84,1
Mannar,2014,10,91,1
Mannar,2014,11,98,1
Mannar,2014,12,94,1
Matale,2014,1,441,5
Matale,2014,2,417,4
Matale,2014,3,441,4
Matale,2014,4,392,4
Matale,2014,5,367,4
Matale,2014,6,416,4
Matale,2014,7,466,5
Matale,2014,8,515,5
Matale,2014,9,588,6
Matale,2014,10,637,7
Matale,2014,11,686,7
Matale,2014,12,662,7
Matara,2014,1,513,5
Matara,2014,2,485,5
Matara,2014,3,513,5
Matara,2014,4,456,4
